1;stul 7
polozka 21;86.46
polozka 21;86.46
polozka 30;57.87
2;stul 1
polozka 11;73.21
polozka 24;87.42
polozka 36;54.85
polozka 37;47.76
polozka 15;99.99
polozka 20;34.06
polozka 7;21.83
3;stul 3
polozka 31;82.75
polozka 34;97.76
polozka 10;37.35
polozka 25;34.51
polozka 27;84.46
polozka 28;16.89
4;stul 5
polozka 31;82.75
polozka 34;97.76
polozka 10;37.35
polozka 25;34.51
5;stul 9
polozka 6;14.74
polozka 9;36.56
polozka 14;40.18
polozka 19;92.98
6;stul 4
polozka 3;81.53
polozka 32;67.89
polozka 5;95.63
